#Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection
9,2210101,2,1,NotAVase,4.1616,2,0,-5.6484,20,20230122-145113,145734741,145736868,2.127577,88,," Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 4.1616000000   Staircase is 4.1616000000  ",1,145735913
9,2210101,2,1,NotAVase,4.1616,3,0,-5.6484,21,20230122-145113,145748212,145749705,1.492385,88,," Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 4.1616000000   Staircase is 4.1616000000  ",1,145749127
9,2210101,2,0,NotAVase,4.1616,3,1,-5.6484,22,20230122-145113,145759458,145800631,1.172627,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000  ",-1,145800293
9,2210101,2,1,NotAVase,3.74544,4,1,-6.06456,23,20230122-145113,145809676,145810667,0.9915343,88,," Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 4.1616000000  ",1,145810286
9,2210101,2,1,NotAVase,4.1616,5,1,-5.6484,24,20230122-145113,145821046,145823896,2.849197,88,," Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 4.1616000000   Staircase is 4.1616000000  ",1,145823544
9,2210101,2,0,NotAVase,4.1616,5,2,-5.6484,25,20230122-145113,145832917,145834956,2.039566,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000  ",-1,145834571
9,2210101,2,1,NotAVase,3.74544,6,2,-6.06456,26,20230122-145113,145846488,145847831,1.343316,88,," Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 4.1616000000  ",1,145847380
9,2210101,2,1,NotAVase,4.1616,7,2,-5.6484,27,20230122-145113,145903159,145909513,6.354535,88,," Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 4.1616000000   Staircase is 4.1616000000  ",1,145909160
9,2210101,2,1,NotAVase,4.1616,8,2,-5.6484,28,20230122-145113,145918524,145920317,1.792381,88,," Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 4.1616000000   Staircase is 4.1616000000  ",1,145919995
9,2210101,2,1,NotAVase,4.1616,9,2,-5.6484,29,20230122-145113,145930693,145933531,2.838171,88,," Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 4.1616000000   Staircase is 4.1616000000  ",1,145933148
9,2210101,2,0,NotAVase,4.1616,9,3,-5.6484,30,20230122-145113,145942355,145943649,1.294169,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.1616000000   Staircase is 3.7454400000  ",-1,145943330
9,2210101,2,0,NotAVase,3.74544,9,4,-6.06456,31,20230122-145113,145955479,145959706,4.227346,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.7454400000   Staircase is 3.3708960000  ",-1,145959189
9,2210101,2,1,NotAVase,3.370896,10,4,-6.439104,32,20230122-145113,150022629,150024490,1.861254,88,," Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.3708960000   Staircase is 3.7454400000  ",1,150023759
10,22,0,NoAnswerInTime,NotAVase,,,,,,20230122-145113,150025263,150035263,-1,22,,"",0,
11,99,0,NoAnswerInTime,NotAVase,,,,,,20230122-145113,150045075,150050074,-1,50,,"",0,
12,29029,0,0,NotAVase,0.6,0,1,0.6,33,20230122-145113,150059008,150103245,4.236579,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.6000000000   Staircase is 0.4500000000  ",-1,150102682
12,29029,0,0,NotAVase,0.45,0,2,0.45,34,20230122-145113,150125625,150126854,1.229321,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.4500000000   Staircase is 0.3375000000  ",-1,150126483
13,29027,0,0,NotAVase,0.39,0,1,0.39,35,20230122-145113,150135654,150136853,1.198813,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3900000000   Staircase is 0.2730000000  ",-1,150136515
14,290201,3,0,NotAVase,0.2535,0,1,0.2535,36,20230122-145113,150145270,150147264,1.993302,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000  ",-1,150136514
14,290201,3,1,NotAVase,0.190125,1,1,0.190125,37,20230122-145113,150155853,150157237,1.383747,88,," Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.2535000000  ",1,150156800
14,290201,3,0,NotAVase,0.2535,1,2,0.2535,38,20230122-145113,150206658,150207737,1.079783,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000  ",-1,150207400
14,290201,3,0,NotAVase,0.190125,1,3,0.190125,39,20230122-145113,150216476,150218469,1.993219,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.1425938000  ",-1,150218126
14,290201,3,0,NotAVase,0.1425938,1,4,0.1425938,40,20230122-145113,150227048,150229051,2.002424,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1425938000   Staircase is 0.1069454000  ",-1,150228598
14,290201,3,1,NotAVase,0.1069454,2,4,0.1069454,41,20230122-145113,150237396,150238668,1.272356,88,," Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1069454000   Staircase is 0.1425939000  ",1,150238325
14,290201,3,0,NotAVase,0.1425939,2,5,0.1425939,42,20230122-145113,150247256,150248291,1.034429,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1425939000   Staircase is 0.1069454000  ",-1,150248061
14,290201,3,1,NotAVase,0.1069454,3,5,0.1069454,43,20230122-145113,150256942,150258248,1.305737,88,," Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1069454000   Staircase is 0.1425939000  ",1,150257949
14,290201,3,1,NotAVase,0.1425939,4,5,0.1425939,44,20230122-145113,150307224,150308680,1.456526,88,," Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1425939000   Staircase is 0.1901252000  ",1,150257947
14,290201,3,0,NotAVase,0.1901252,4,6,0.1901252,45,20230122-145113,150317385,150332595,15.20979,88,," Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901252000   Staircase is 0.1425939000  ",1,150257946
14,290201,3,1,NotAVase,0.1425939,5,6,0.1425939,46,20230122-145113,150341495,150343521,2.026389,88,," Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1425939000   Staircase is 0.1901252000  ",1,150343099
15,333,0,NoAnswerInTime,NotAVase,,,,,,20230122-145113,150344293,150354293,-1,333,,"",0,
